Kenya Drug Retention No,Kenya Drug in SBD Version ,Kenya Drug in SCD or PSN Version ,Corresponding RXCUI,,,,,,,
4895,Sodamint 300 MG Oral Tablet ,sodium bicarbonate 300 MG /peppermint oil 0.003 ML Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4895','Sodamint 300 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4895','Sodamint 300 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG4895','sodium bicarbonate 300 MG /peppermint oil 0.003 ML Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4895','No Corresponding SCD RXCUI')"
1123,Gripe Water Oral Solution ,sodium bicarbonate 50 MG / dill seed oil terpenless 2.15 MG in 5 ML Oral Solution ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1123','Gripe Water Oral Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1123','Gripe Water Oral Solution','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG1123','sodium bicarbonate 50 MG / dill seed oil terpenless 2.15 MG in 5 ML Oral Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1123','No Corresponding SCD RXCUI')"
4377,Eno Lemon ,sodium bicarbonate 55.76 % / citric acid 43.14 % ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4377','Eno Lemon',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4377','Eno Lemon','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG4377','sodium bicarbonate 55.76 % / citric acid 43.14 %','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4377','No Corresponding SCD RXCUI')"
10906,"InSUMan Comb-30  100 UNITS / ML Insulin Human, Suspension for Injection in 3 ML Cartridge",soluble insulin 30 UNITS / ML / crystalline protamine insulin 70 UNITS / ML Suspension for Injection in 3 ML Cartridge,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI10906','InSUMan Comb-30 100 UNITS / ML Insulin Human, Suspension for Injection in 3 ML Cartridge',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB10906','InSUMan Comb-30 100 UNITS / ML Insulin Human, Suspension for Injection in 3 ML Cartridge','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG10906','soluble insulin 30 UNITS / ML / crystalline protamine insulin 70 UNITS / ML Suspension for Injection in 3 ML Cartridge','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE10906','No Corresponding SCD RXCUI')"
282,"ACTrapid Penfill 100 UNITS / ML Insulin Human, Solution for Injection in 3 ML Cartridge","soluble insulin, human 100 UNITS / ML Solution for Injection in 3 ML Cartridge",No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI282','ACTrapid Penfill 100 UNITS / ML Insulin Human, Solution for Injection in 3 ML Cartridge',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB282','ACTrapid Penfill 100 UNITS / ML Insulin Human, Solution for Injection in 3 ML Cartridge','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG282','soluble insulin, human 100 UNITS / ML Solution for Injection in 3 ML Cartridge','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE282','No Corresponding SCD RXCUI')"
1241,HumuLIN R 100 UNITS / ML Solution for Injection in 3 ML Cartridge,"soluble insulin, human 100 UNITS / ML Solution for injection in 3 ML Cartridge",No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1241','HumuLIN R 100 UNITS / ML Solution for Injection in 3 ML Cartridge',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1241','HumuLIN R 100 UNITS / ML Solution for Injection in 3 ML Cartridge','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG1241','soluble insulin, human 100 UNITS / ML Solution for injection in 3 ML Cartridge','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1241','No Corresponding SCD RXCUI')"
282,"ACTrapid FlexPen 100 UNITS / ML Insulin Human, Solution for Injection in 3 ML Pre-Filled Pen","soluble insulin, human 100 UNITS / ML Solution for Injection in 3 ML Pre-Filled Pen",No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI282','ACTrapid FlexPen 100 UNITS / ML Insulin Human, Solution for Injection in 3 ML Pre-Filled Pen',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB282','ACTrapid FlexPen 100 UNITS / ML Insulin Human, Solution for Injection in 3 ML Pre-Filled Pen','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG282','soluble insulin, human 100 UNITS / ML Solution for Injection in 3 ML Pre-Filled Pen','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE282','No Corresponding SCD RXCUI')"
281,"MIXTArd-30 Penfill 100 UNITS / ML Insulin Human, Suspension for Injection in 3 ML Cartridge","soluble insulin, human 30 UNITS / ML / isophane (NPH) insulin, human 70 UNITS / ML Suspension for Injection in 3 ML Cartridge",No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI281','MIXTArd-30 Penfill 100 UNITS / ML Insulin Human, Suspension for Injection in 3 ML Cartridge',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB281','MIXTArd-30 Penfill 100 UNITS / ML Insulin Human, Suspension for Injection in 3 ML Cartridge','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG281','soluble insulin, human 30 UNITS / ML / isophane (NPH) insulin, human 70 UNITS / ML Suspension for Injection in 3 ML Cartridge','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE281','No Corresponding SCD RXCUI')"
13123,Lactor 25 MG /10 MG Oral Tablet ,spironolactone 25 MG / torsemide 10 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI13123','Lactor 25 MG /10 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB13123','Lactor 25 MG /10 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG13123','spironolactone 25 MG / torsemide 10 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE13123','No Corresponding SCD RXCUI')"
4396,Laefin 500 MG / pyrimethamine 25 MG Oral Tablet,sulfametopyrazine 500 MG / pyrimethamine 25 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI4396','Laefin 500 MG / pyrimethamine 25 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB4396','Laefin 500 MG / pyrimethamine 25 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG4396','sulfametopyrazine 500 MG / pyrimethamine 25 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE4396','No Corresponding SCD RXCUI')"
9889,Arbitel-AV 40/10 mg Oral Tablet,telmisartan 40 MG / atorvastatin calcium 10 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI9889','Arbitel-AV 40/10 mg Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB9889','Arbitel-AV 40/10 mg Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG9889','telmisartan 40 MG / atorvastatin calcium 10 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE9889','No Corresponding SCD RXCUI')"
13271,Aveza 20 MG Oral Tablet ,teneLIGLiptin 20 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI13271','Aveza 20 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB13271','Aveza 20 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG13271','teneLIGLiptin 20 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE13271','No Corresponding SCD RXCUI')"
8169,BronchoPed Expectorant and Bronchodilator Oral Syrup,terbutaline sulphate 1.25 MG / ammonium chloride 60 MG / sodium citrate 25 MG in 5 ML Oral Solution,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI8169','BronchoPed Expectorant and Bronchodilator Oral Syrup',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB8169','BronchoPed Expectorant and Bronchodilator Oral Syrup','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG8169','terbutaline sulphate 1.25 MG / ammonium chloride 60 MG / sodium citrate 25 MG in 5 ML Oral Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE8169','No Corresponding SCD RXCUI')"
2611,Bro-Zedex Cough Syrup,terbutaline sulphate 2.5 MG / bromhexine HCL 8 MG / guaifenesin 100 MG / menthol 5 MG in 10 ML Oral Solution,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2611','Bro-Zedex Cough Syrup',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2611','Bro-Zedex Cough Syrup','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2611','terbutaline sulphate 2.5 MG / bromhexine HCL 8 MG / guaifenesin 100 MG / menthol 5 MG in 10 ML Oral Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2611','No Corresponding SCD RXCUI')"
11503,Grilinctus - BM Syrup (Terbutaline Sulphate 2.5 MG / Bromhexine Hydrochloride 8 MG) in 5 ML Oral Solution ,terbutaline sulphate 2.5 MG / bromhexine HCL 8 MG in 5 ML Oral Solution,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11503','Grilinctus - BM Syrup (Terbutaline Sulphate 2.5 MG / Bromhexine Hydrochloride 8 MG) in 5 ML Oral Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11503','Grilinctus - BM Syrup (Terbutaline Sulphate 2.5 MG / Bromhexine Hydrochloride 8 MG) in 5 ML Oral Solution','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11503','terbutaline sulphate 2.5 MG / bromhexine HCL 8 MG in 5 ML Oral Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11503','No Corresponding SCD RXCUI')"
10964,Tramadol Denk 50 MG Effervescent Oral Tablet ,traMADol HCL  50 MG Effervescent Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI10964','Tramadol Denk 50 MG Effervescent Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB10964','Tramadol Denk 50 MG Effervescent Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG10964','traMADol HCL 50 MG Effervescent Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE10964','No Corresponding SCD RXCUI')"
5235,Strom-P 50 MG / 500 MG Oral Tablet ,traMADol HCL  50 MG / paracetamol 500 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5235','Strom-P 50 MG / 500 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5235','Strom-P 50 MG / 500 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5235','traMADol HCL 50 MG / paracetamol 500 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5235','No Corresponding SCD RXCUI')"
1600,Duotrav 40 MCG / ML + 5 MG/ML Eye Drops Solution,travoprost 0.04 MG/ML  / timolol maleate 5 MG/ML Ophthalmic Solution ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1600','Duotrav 40 MCG / ML + 5 MG/ML Eye Drops Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1600','Duotrav 40 MCG / ML + 5 MG/ML Eye Drops Solution','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG1600','travoprost 0.04 MG/ML / timolol maleate 5 MG/ML Ophthalmic Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1600','No Corresponding SCD RXCUI')"
3056,Galvus Met 50 MG / 1000 MG Oral Tablet ,VILDAgliptin 50 MG / metFORMIN HCL 1000 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3056','Galvus Met 50 MG / 1000 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3056','Galvus Met 50 MG / 1000 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3056','VILDAgliptin 50 MG / metFORMIN HCL 1000 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3056','No Corresponding SCD RXCUI')"
3051,Galvus Met 50 MG / 500 MG Oral Tablet ,VILDAgliptin 50 MG / metFORMIN HCL 500 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3051','Galvus Met 50 MG / 500 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3051','Galvus Met 50 MG / 500 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3051','VILDAgliptin 50 MG / metFORMIN HCL 500 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3051','No Corresponding SCD RXCUI')"
3055,Galvus Met 50 MG / 850 MG Oral Tablet ,VILDAgliptin 50 MG / metFORMIN HCL 850 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3055','Galvus Met 50 MG / 850 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3055','Galvus Met 50 MG / 850 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3055','VILDAgliptin 50 MG / metFORMIN HCL 850 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3055','No Corresponding SCD RXCUI')"
11560,Bifril Plus 30 MG/12.5 MG Oral Tablet,zofenopril calcium 30 MG / hydrochlorothiazide 12.5 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11560','Bifril Plus 30 MG/12.5 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11560','Bifril Plus 30 MG/12.5 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11560','zofenopril calcium 30 MG / hydrochlorothiazide 12.5 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11560','No Corresponding SCD RXCUI')"
9416,Bifril 30 MG Oral Tablet ,zofenopril calcium 30 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI9416','Bifril 30 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB9416','Bifril 30 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG9416','zofenopril calcium 30 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE9416','No Corresponding SCD RXCUI')"
3225,Cardi-80 Oral Tablet ,aspirin 80 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI3225','Cardi-80 Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB3225','Cardi-80 Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG3225','aspirin 80 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE3225','No Corresponding SCD RXCUI')"
11518,Aclofre-P 100/375 MG Oral Tablet ,aceclofenac 100 MG / paracetamol 375 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11518','Aclofre-P 100/375 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11518','Aclofre-P 100/375 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11518','aceclofenac 100 MG / paracetamol 375 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11518','No Corresponding SCD RXCUI')"
11842,Acufen XP 100/325 MG Oral Tablet ,aceclofenac 100 MG / paracetamol 325 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11842','Acufen XP 100/325 MG Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11842','Acufen XP 100/325 MG Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11842','aceclofenac 100 MG / paracetamol 325 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11842','No Corresponding SCD RXCUI')"
13360,Aclosara-MR Oral Tablet ,aceclofenac 100 MG / paracetamol 325 MG / chlorzoxazone 250 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI13360','Aclosara-MR Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB13360','Aclosara-MR Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG13360','aceclofenac 100 MG / paracetamol 325 MG / chlorzoxazone 250 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE13360','No Corresponding SCD RXCUI')"
16179,Myonac MR Oral Tablet ,aceclofenac  100 MG / paracetamol 325 MG / chlorzoxazone 500 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI16179','Myonac MR Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB16179','Myonac MR Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG16179','aceclofenac 100 MG / paracetamol 325 MG / chlorzoxazone 500 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE16179','No Corresponding SCD RXCUI')"
14953,Lysodol MR Oral Tablet ,aceclofenac  100 MG / paracetamol 500 MG / chlorzoxazone 250 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI14953','Lysodol MR Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB14953','Lysodol MR Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG14953','aceclofenac 100 MG / paracetamol 500 MG / chlorzoxazone 250 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE14953','No Corresponding SCD RXCUI')"
